circuit_size,circuit_nodes,sampling,cs_type,n,mu_hat,radius,lcb_mu,ucb_mu
13,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9;L2H2;L4H11,iid,betting,20,0.9796174682123763,0.18177305320525622,0.6364538935894876,1.0
13,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9;L2H2;L4H11,iid,hoeffding,50,0.9535950119207902,0.34656349731962505,0.6070315146011651,1.3001585092404153
13,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9;L2H2;L4H11,iid,betting,50,0.9535950119207902,0.08949914432439648,0.821001711351207,1.0
13,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9;L2H2;L4H11,iid,hoeffding,100,0.967185993397408,0.2588138339478868,0.7083721594495211,1.2259998273452948
13,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9;L2H2;L4H11,iid,betting,100,0.967185993397408,0.05050556344754714,0.8989888731049057,1.0
13,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9;L2H2;L4H11,iid,hoeffding,200,0.9710186432700247,0.19224473002972509,0.7787739132402997,1.16326337329975
13,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9;L2H2;L4H11,iid,betting,200,0.9710186432700247,0.03200386251332088,0.9359922749733582,1.0
13,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9;L2H2;L4H11,iid,hoeffding,500,0.9701136474464128,0.12890227287922065,0.8412113745671922,1.0990159203256336
13,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9;L2H2;L4H11,iid,betting,500,0.9701136474464128,0.015558358817248541,0.954348708565028,0.985465426199525
13,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9;L2H2;L4H11,iid,hoeffding,1000,0.9693007395507859,0.09487383810763891,0.8744269014431469,1.0641745776584248
13,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9;L2H2;L4H11,iid,betting,1000,0.9693007395507859,0.00891908527410823,0.9598718879049175,0.977710058453134
13,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9;L2H2;L4H11,iid,hoeffding,2000,0.9719910687268095,0.06962108997220032,0.9023699787546092,1.04161215869901
13,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9;L2H2;L4H11,iid,betting,2000,0.9719910687268095,0.005254554709146375,0.9664737854387484,0.9769828948570412
