method,keep,mask_p,sampling,cs_type,n,r_hat,radius,lcb_f,ucb_f
cip-affine,256,0.1,iid,betting,5000,0.0156,0.0062664398193359415,0.9770848937988281,0.9896177734375
cip-affine,256,0.1,iid,betting,10000,0.0162,0.00467200698852539,0.9785534469604492,0.9878974609375
cip-affine,256,0.1,adaptive,hoeffding,50,0.0007393426448106766,0.49509071045660724,0.5041699468985821,1.0
cip-affine,256,0.1,adaptive,hoeffding,100,0.0003696713224053383,0.3697340484969811,0.6298962801806136,1.0
cip-affine,256,0.1,adaptive,hoeffding,200,0.025504687149077655,0.274635328613893,0.6998599842370293,1.0
cip-affine,256,0.1,adaptive,hoeffding,500,0.023697368271648884,0.18414610411317237,0.7921565276151787,1.0
cip-affine,256,0.1,adaptive,hoeffding,1000,0.017962075415998698,0.13553405443948416,0.8465038701445171,1.0
cip-affine,256,0.1,adaptive,hoeffding,2000,0.017257770298048855,0.09945869996028617,0.883283529741665,1.0
cip-affine,256,0.1,adaptive,hoeffding,5000,0.01772982176169753,0.06580888554144937,0.9164612926968531,1.0
cip-affine,256,0.1,adaptive,hoeffding,10000,0.018750422610901298,0.04802981695136191,0.9332197604377368,1.0
cip-affine,256,0.1,adaptive,betting,50,0.0007393426448106766,0.09128132806908343,0.8174373438618332,1.0
cip-affine,256,0.1,adaptive,betting,100,0.0003696713224053383,0.044696281113795595,0.9106074377724088,1.0
cip-affine,256,0.1,adaptive,betting,200,0.025504687149077658,0.03988837712484446,0.9202232457503111,1.0
cip-affine,256,0.1,adaptive,betting,500,0.023697368271648884,0.029673281016001238,0.9406534379679975,1.0
cip-affine,256,0.1,adaptive,betting,1000,0.017962075415998698,0.01697696563310215,0.9622571934507335,0.9962111247169377
cip-affine,256,0.1,adaptive,betting,2000,0.01725777029804886,0.010657182144088995,0.9704780828454648,0.9917924471336428
cip-affine,256,0.1,adaptive,betting,5000,0.017729821761697535,0.006558457897753268,0.9748323459758397,0.9879492617713462
cip-affine,256,0.1,adaptive,betting,10000,0.018750422610901298,0.004860469479455153,0.9758500248912946,0.9855709638502048
cip-affine,256,0.2,iid,hoeffding,50,0.08,0.34656349731962505,0.5734365026803749,1.0
cip-affine,256,0.2,iid,hoeffding,100,0.06,0.25881383394788676,0.6811861660521132,1.0
cip-affine,256,0.2,iid,hoeffding,200,0.045,0.19224473002972509,0.7627552699702749,1.0
cip-affine,256,0.2,iid,hoeffding,500,0.046,0.12890227287922065,0.8250977271207793,1.0
cip-affine,256,0.2,iid,hoeffding,1000,0.048,0.09487383810763891,0.8571261618923611,1.0
cip-affine,256,0.2,iid,hoeffding,2000,0.0445,0.06962108997220032,0.8858789100277997,1.0
cip-affine,256,0.2,iid,hoeffding,5000,0.0478,0.046066219879014554,0.9061337801209854,0.9982662198790145
cip-affine,256,0.2,iid,hoeffding,10000,0.0482,0.03362087186595333,0.9181791281340467,0.9854208718659533
cip-affine,256,0.2,iid,betting,50,0.08,0.13838241577148436,0.7232351684570313,1.0
cip-affine,256,0.2,iid,betting,100,0.06,0.0853936767578125,0.829212646484375,1.0
cip-affine,256,0.2,iid,betting,200,0.045,0.055551509857177724,0.8875236892700196,0.998626708984375
cip-affine,256,0.2,iid,betting,500,0.046,0.03370629119873047,0.914208755493164,0.981621337890625
cip-affine,256,0.2,iid,betting,1000,0.048,0.02337249755859376,0.9250245361328124,0.97176953125
cip-affine,256,0.2,iid,betting,2000,0.0445,0.01682170295715332,0.9357954368591308,0.9694388427734375
cip-affine,256,0.2,iid,betting,5000,0.0478,0.011468819427490236,0.9395085525512695,0.96244619140625
cip-affine,256,0.2,iid,betting,10000,0.0482,0.008332760620117185,0.9428245910644532,0.9594901123046875
cip-affine,256,0.2,adaptive,hoeffding,50,0.04191073545254767,0.49509071045660724,0.4629985540908451,1.0
cip-affine,256,0.2,adaptive,hoeffding,100,0.0350911456765607,0.3697340484969811,0.5951748058264582,1.0
cip-affine,256,0.2,adaptive,hoeffding,200,0.04753285529324785,0.274635328613893,0.6778318160928591,1.0
cip-affine,256,0.2,adaptive,hoeffding,500,0.06047443796508014,0.18414610411317237,0.7553794579217474,1.0
cip-affine,256,0.2,adaptive,hoeffding,1000,0.0567095223583674,0.13553405443948416,0.8077564232021485,1.0
cip-affine,256,0.2,adaptive,hoeffding,2000,0.053079868393379,0.09945869996028617,0.8474614316463348,1.0
cip-affine,256,0.2,adaptive,hoeffding,5000,0.04899141429754527,0.06580888554144937,0.8851997001610054,1.0
cip-affine,256,0.2,adaptive,hoeffding,10000,0.043354666949472445,0.04802981695136191,0.9086155160991657,1.0
cip-affine,256,0.2,adaptive,betting,50,0.04191073545254768,0.14107895506772233,0.7178420898645553,1.0
cip-affine,256,0.2,adaptive,betting,100,0.0350911456765607,0.08619259269494052,0.827614814610119,1.0
cip-affine,256,0.2,adaptive,betting,200,0.047532855293247855,0.06405795828791852,0.871884083424163,1.0
cip-affine,256,0.2,adaptive,betting,500,0.06047443796508014,0.04392763922406092,0.8887876510292325,0.9766429294773543
cip-affine,256,0.2,adaptive,betting,1000,0.05670952235836742,0.02907072008012303,0.9101117495937245,0.9682531897539706
cip-affine,256,0.2,adaptive,betting,2000,0.053079868393379005,0.01981283300183062,0.9244521183746477,0.9640777843783089
cip-affine,256,0.2,adaptive,betting,5000,0.048991414297545284,0.012486021033450628,0.9371361609373411,0.9621082030042423
cip-affine,256,0.2,adaptive,betting,10000,0.043354666949472466,0.007424101234570456,0.9484442816664131,0.9632924841355541
cip-affine,256,0.5,iid,hoeffding,50,0.44,0.34656349731962505,0.21343650268037495,0.906563497319625
cip-affine,256,0.5,iid,hoeffding,100,0.45,0.25881383394788676,0.2911861660521132,0.8088138339478868
cip-affine,256,0.5,iid,hoeffding,200,0.395,0.19224473002972509,0.4127552699702749,0.7972447300297251
cip-affine,256,0.5,iid,hoeffding,500,0.41,0.12890227287922065,0.46109772712077934,0.7189022728792207
cip-affine,256,0.5,iid,hoeffding,1000,0.422,0.09487383810763891,0.48312616189236113,0.6728738381076389
cip-affine,256,0.5,iid,hoeffding,2000,0.4445,0.06962108997220032,0.4858789100277997,0.6251210899722003
cip-affine,256,0.5,iid,hoeffding,5000,0.4412,0.046066219879014554,0.5127337801209855,0.6048662198790146
cip-affine,256,0.5,iid,hoeffding,10000,0.4416,0.03362087186595333,0.5247791281340467,0.5920208718659533
cip-affine,256,0.5,iid,betting,50,0.44,0.23592285156249998,0.3346875,0.806533203125
cip-affine,256,0.5,iid,betting,100,0.45,0.15801582336425782,0.3909149169921875,0.7069465637207031
cip-affine,256,0.5,iid,betting,200,0.395,0.10711326599121093,0.4946827697753906,0.7089093017578125
cip-affine,256,0.5,iid,betting,500,0.41,0.07444152832031253,0.5133061218261719,0.6621891784667968
